co_sigtap,no_sigtap,sg_procedimento
0601210077,"0601210077 IMUNOGLOBULINA HUMANA 3,0 G INJETAVEL (POR FRASCO)",IMUNO3
0601210085,"0601210085 IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)",IMUNO5
0601210093,"0601210093 IMUNOGLOBULINA HUMANA 6,0 G INJETAVEL (POR FRASCO)",IMUNO6
0601220013,0601220013 DONEPEZILA (N) 10MG (POR COMPRIMIDO),DONEP10
0601220021,0601220021 DONEPEZILA (N) 5 MG (POR COMPRIMIDO),DONEP5
0601220030,"0601220030 RIVASTIGMINA (N) 1,5 MG (POR CAPSULA)",RIVAS1
0601220048,"0601220048 RIVASTIGMINA (N) 2,0 MG/ML SOLUCAO ORAL (POR FRASCO DE 120ML)",RIVAS2
0601220056,0601220056 RIVASTIGMINA (N) 3 MG (POR CAPSULA),RIVAS3
0601220064,"0601220064 RIVASTIGMINA (N) 4,5 MG (POR CAPSULA)",RIVAS4
0601220072,0601220072 RIVASTIGMINA (N) 6 MG (POR CAPSULA),RIVAS6
0601220080,0601220080 GALANTAMINA (N) 8 MG (POR CAPSULA),GALAN8
0601220099,0601220099 GALANTAMINA (N) 16 MG (POR CAPSULA),GALAN16
0601220102,0601220102 GALANTAMINA (N) 24MG (POR CAPSULA),GALAN24
0601230019,"0601230019 ALFADORNASE 2,5 MG (POR AMPOLA)",ALFAD2
0601240014,0601240014 DEFERIPRONA 500 MG (POR COMPRIMIDO),DEFER500
0601240022,0601240022 DESFERROXAMINA 500 MG INJETAVEL (POR FRASCO- AMPOLA),DESFE500
0601240030,0601240030 DEFERASIROX 125 MG (POR COMPRIMIDO),DEFER125
0601240049,0601240049 DEFERASIROX 250 MG (POR COMPRIMIDO),DEFER250
0601240057,0601240057 DEFERASIROX 500 MG (POR COMPRIMIDO),DEFER500
0601250010,0601250010 PENICILAMINA 250 MG (POR CAPSULA),PENIC250
0601250028,0601250028 SEVELAMER 400 MG (POR COMPRIMIDO),SEVEL400
0601250036,0601250036 SEVELAMER 800 MG (POR COMPRIMIDO),SEVEL800
0601260015,"0601260015 DESMOPRESSINA 0,1 MG/ML APLICACAO NASAL (POR FRASCO DE 2,5 ML)",DESMO0
0601270010,"0601270010 GOSSERELINA (O) 3,60 MG INJETAVEL (POR SERINGA PREENCHIDA)",GOSSE3
0601270029,"0601270029 GOSSERRELINA (P) 10,80 MG INJETAVEL (POR SERINGA PREENCHIDA)",GOSSE10
0601270037,"0601270037 LEUPRORRELINA (O) 3,75 MG INJETAVEL ( POR FRASCO AMPOLA)",LEUPR3
0601270045,"0601270045 LEUPRORRELINA (P) 11,25 MG INJETAVEL (POR SERINGA PREENCHIDA)",LEUPR11
0601270053,"0601270053 TRIPTORRELINA (O) 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)",TRIPT3
0601280016,0601280016 CIPROTERONA 50 MG (POR COMPRIMIDO),CIPRO50
0601280024,0601280024 FLUTAMIDA 250 MG (POR COMPRIMIDO),FLUTA250
0601290011,0601290011 DANAZOL 100 MG (POR CAPSULA),DANAZ100
0601300017,0601300017 OCTREOTIDA LAR 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA),OCTRE10
0601300025,0601300025 OCTREOTIDA LAR 30 MG/ML INJETAVEL (POR FRASCO-AMPOLA),OCTRE30
0601300033,"0601300033 OCTREOTIDA 0,1 MG/ML INJETAVEL (POR AMPOLA)",OCTRE0
0601300041,0601300041 OCTREOTIDA LAR 20 MG/ML INJETAVEL (POR FRASCO-AMPOLA),OCTRE20
0601310012,"0601310012 BROMOCRIPTINA 2,5 MG (POR COMPRIMIDO)",BROMO2
0601310020,"0601310020 CABERGOLINA 0,5 MG (POR COMPRIMIDO)",CABER0
0601320018,0601320018 SOMATROPINA 12 UI INJETAVEL (POR FRASCO-AMPOLA),SOMAT12
0601320026,0601320026 SOMATROPINA 4 UI INJETAVEL (POR FRASCO-AMPOLA),SOMAT4
0601330013,0601330013 LEVOTIROXINA 100 MCG (POR COMPRIMIDO),LEVOT100
0601330021,0601330021 LEVOTIROXINA 150 MCG (POR COMPRIMIDO),LEVOT150
0601330030,0601330030 LEVOTIROXINA 25 MCG (POR COMPRIMIDO),LEVOT25
0601330048,0601330048 LEVOTIROXINA 50 MCG (POR COMPRIMIDO),LEVOT50
0601340019,"0601340019 FLUDROCORTISONA 0,1 MG (POR COMPRIMIDO)",FLUDR0
0601350014,0601350014 ALENDRONATO (Q) 10 MG (POR COMPRIMIDO),ALEND10
0601350022,0601350022 ALENDRONATO (Q) 70 MG (POR COMPRIMIDO),ALEND70
0601350030,"0601350030 ALFACALCIDOL (R) 0,25 MCG (POR CAPSULA)",ALFAC0
0601350049,"0601350049 ALFACALCIDOL (R) 1,0 MCG (POR CAPSULA)",ALFAC1
0601350057,0601350057 CALCITONINA 100 UI INJETAVEL (POR AMPOLA),CALCI100
0601350065,0601350065 CALCITONINA 200 UI SPRAY NASAL (POR FRASCO),CALCI200
0601350073,"0601350073 CALCITRIOL (R) 0,25 MCG (POR CAPSULA)",CALCI0
0601350081,"0601350081 CALCITRIOL 1,0 MCG INJETAVEL (POR AMPOLA)",CALCI1
0601350090,0601350090 PAMIDRONATO (Q) 30MG INJETAVEL (POR FRASCO-AMPOLA),PAMID30
0601350103,0601350103 PAMIDRONATO (Q) 60 MG INJETAVEL (POR FRASCO-AMPOLA),PAMID60
0601350111,0601350111 PAMIDRONATO (Q) 90 MG INJETAVEL (POR FRASCO-AMPOLA),PAMID90
0601350120,0601350120 RALOXIFENO 60 MG (POR COMPRIMIDO),RALOX60
0601350138,0601350138 RISEDRONATO (Q) 35 MG (POR COMPRIMIDO),RISED35
0601350146,0601350146 RISEDRONATO (Q) 5 MG (POR COMPRIMIDO),RISED5
0601360010,0601360010 IMIGLUCERASE 200 UI INJETAVEL (POR FRASCO-AMPOLA),IMIGL200
0601360028,0601360028 PANCRELIPASE 10.000 UI (POR CAPSULA),PANCR10
0601360036,0601360036 PANCRELIPASE 12.000 UI (POR CAPSULA),PANCR12
0601360044,0601360044 PANCRELIPASE 18.000 UI (POR CAPSULA),PANCR18
0601360052,0601360052 PANCRELIPASE 20.000 UI (POR CAPSULA),PANCR20
0601360060,0601360060 PANCRELIPASE 25000 UI (POR CAPSULA),PANCR25000
0601360079,0601360079 PANCRELIPASE 4500 UI (POR CAPSULA),PANCR4500
0602010136,0602010136 DESMOPRESSINA (DDAVP) - FRASCO AMPOLA DE 4 MCG/ML EM COAGULOPATIAS HEREDITARIAS,DESMO4
0603050115,0603050115 TENECTEPLASE 40 MG INJETAVEL (POR FRASCO AMPOLA) DE USO NAS URGENCIAS PRE-HOSPITALARES,TENEC40
0603050123,0603050123 TENECTEPLASE 50 MG INJETAVEL (POR FRASCO AMPOLA) DE USO NAS URGENCIAS PRE-HOSPITALARES,TENEC50
0604010010,0604010010 MESALAZINA 400 MG (POR COMPRIMIDO),MESAL400
0604010028,0604010028 MESALAZINA 500 MG (POR COMPRIMIDO),MESAL500
0604010036,0604010036 MESALAZINA 800 MG - POR COMPRIMIDOÇ¨,MESAL800
0604010044,0604010044 MESALAZINA 250 MG (POR SUPOSITORIO),MESAL250
0604010052,0604010052 MESALAZINA 500 MG (POR SUPOSITORIO),MESAL500
0604010060,0604010060 MESALAZINA 1000 MG (POR SUPOSITORIO),MESAL1000
0604010079,0604010079 MESALAZINA 1 G + DILUENTE 100 ML (ENEMA) - POR DOSE,MESAL1
0604010087,0604010087 MESALAZINA 3 G + DILUENTE 100 ML (ENEMA) - POR DOSE,MESAL3
0604010095,0604010095 SULFASSALAZINA 500 MG (POR COMPRIMIDO),SULFA500
0604010109,0604010109 MESALAZINA 2 G GRANULOS DE LIBERACAO PROLONGADA (POR SACHE),MESAL2
0604020015,0604020015 DEFERASIROX 125 MG (POR COMPRIMIDO)Ç¨,DEFER125
0604020023,0604020023 DEFERASIROX 250 MG (POR COMPRIMIDO)Ç¨,DEFER250
0604020031,0604020031 DEFERASIROX 500 MG (POR COMPRIMIDO)Ç¨,DEFER500
0604020040,0604020040 DEFERIPRONA 500 MG (POR COMPRIMIDO),DEFER500
0604020058,0604020058 DESFERROXAMINA 500 MG INJETAVEL (POR FRASCO-AMPOLA),DESFE500
0604030010,"0604030010 BROMOCRIPTINA 2,5 MG (POR COMPRIMIDO)",BROMO2
0604030029,0604030029 BROMOCRIPTINA 5 MG (POR COMPRIMIDO OU CAPSULA DE LIBERACAO RETARDADA,BROMO5
0604030037,"0604030037 CABERGOLINA 0,5 MG (POR COMPRIMIDO)",CABER0
0604030045,"0604030045 PRAMIPEXOL 0,125 MG (POR COMPRIMIDO)",PRAMI0
0604030053,"0604030053 PRAMIPEXOL 0,25 MG (POR COMPRIMIDO)",PRAMI0
0604030061,0604030061 PRAMIPEXOL 1 MG (POR COMPRIMIDO),PRAMI1
0604040016,0604040016 FENOTEROL 100 MCG AEROSSOL (POR FRASCO DE 200 DOSES),FENOT100
0604040024,0604040024 FORMOTEROL 12 MCG (POR CAPSULA INALANTE),FORMO12
0604040032,0604040032 FORMOTEROL 12 MCG PO INALANTE (POR FRASCO DE 60 DOSES),FORMO12
0604040040,0604040040 FORMOTEROL 12 MCG + BUDESONIDA 400 MCG Ç¨(POR CAPSULA INALANTE),FORMO12
0604040059,0604040059 FORMOTEROL 12 MCG + BUDESONIDA 400 MCG PO INALANTE (POR FRASCO DE 60 DOSES),FORMO12
0604040067,0604040067 FORMOTEROL 6 MCG + BUDESONIDA 200 MCG PO INALANTE (POR FRASCO DE 60 DOSES),FORMO6
