tabulador,url
Painéis de monitoramento (SVS) - Painel de monitoramento da Qualidade da definição da causa de morte (garbage codes**) – 1996 até o momento atual*,http://svs.aids.gov.br/dantps/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/codigos-garbage/
Painéis de monitoramento (SVS) - Painel de monitoramento da Regularidade no envio de dados de mortalidade – 1996 até o momento atual,http://svs.aids.gov.br/dantps/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/regularidade/
Dados preliminares 2020 - Nascidos Vivos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/pnvbr.def
Dados preliminares 2020 - Anomalia ou defeito congênito em Nascidos Vivos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?SINASC/anomalias/panomabr.def
Dados preliminares 2020 - Mortalidade geral,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/pobt10br.def
Dados preliminares 2020 - Óbitos por causas evitáveis - 0 a 4 anos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/pevita10br.def
Dados preliminares 2020 - Óbitos por causas evitáveis - 5 a 74 anos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/pevitb10br.def
Dados preliminares 2020 - Óbitos infantis,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/pinf10br.def
Dados preliminares 2020 - Óbitos de mulheres em idade fértil e óbitos maternos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/pmat10br.def
Dados preliminares 2020 - Óbitos por causas externas,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/pext10br.def
Dados preliminares 2020 - Óbitos fetais,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/pfet10br.def
Dados preliminares 2020 - Óbitos por causa múltipla,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/caumul/pcaumulbr.def
Dados preliminares 2020 - Óbitos por causas mal definidas ou inespecíficas,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/compl/pmaldefbr.def
Dados preliminares 2020 - Óbitos por causas pouco úteis,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/compl/ppoucutilbr.def
Mortalidade – dede 1996 pela CID-10 - Mortalidade geral,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/obt10br.def
Mortalidade – dede 1996 pela CID-10 - Óbitos por causas evitáveis - 0 a 4 anos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/evita10br.def
Mortalidade – dede 1996 pela CID-10 - Óbitos por causas evitáveis - 5 a 74 anos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/evitb10br.def
Mortalidade – dede 1996 pela CID-10 - Óbitos infantis,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/inf10br.def
Mortalidade – dede 1996 pela CID-10 - Óbitos de mulheres em idade fértil e óbitos maternos,https://datasus.saude.gov.br/mortalidade-desde-1996-pela-cid-10
Mortalidade – dede 1996 pela CID-10 - Óbitos por causas externas,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/ext10br.def
Mortalidade – dede 1996 pela CID-10 - Óbitos fetais,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/fet10br.def
Mortalidade – dede 1996 pela CID-10 - Óbitos por causa múltipla,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/caumul/caumulbr.def
Mortalidade – dede 1996 pela CID-10 - Óbitos por causas mal definidas e inespecíficas,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/compl/maldefbr.def
Mortalidade – dede 1996 pela CID-10 - Óbitos por causas pouco úteis,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/compl/poucutilbr.def
Nascidos Vivos – desde 1994 - Nascidos vivos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvbr.def
Nascidos Vivos – desde 1994 - Anomalia ou defeito congênito em Nascidos Vivos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/Anomalias/anomabr.def
Vigilância Alimentar e Nutricional (SISVAN) - Estado Nutricional - Usuários da Atenção Básica,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sisvan/cnv/acom_br.def
Vigilância Alimentar e Nutricional (SISVAN) - Estado nutricional dos beneficiários do Programa Bolsa Família,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?bolsa/cnv/ACOMP_br.def
Atenção Básica – Saúde da Família – de 1998 a 2015 - Situação de Saúde,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/SIABSbr.def
Atenção Básica – Saúde da Família – de 1998 a 2015 - Produção e Marcadores,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/SIABPbr.def
Atenção Básica – Saúde da Família – de 1998 a 2015 - Cadastramento Familiar,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/SIABFbr.def
Atenção Básica – Saúde da Família – de 1998 a 2015 - Situação de Saneamento,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/SIABCbr.def
Atenção Básica – Saúde da Família – de 1998 a 2015 - PMA Complementar,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/siabobr.def
