tp_diretriz,no_diretriz,co_cid_hash,ds_publicacao,ds_url
pcdt,Deficiência de Biotinidase,E889,Portaria Conjunta SAS/SCTIE nº 13 – 04/05/2018 (Publicada em 24/05/2018),http://conitec.gov.br/images/Protocolos/PCDT_da_Deficiencia_de_Biotinidase.pdf
pcdt,Tabagismo,F171 F172 F173 T652 Z720,,http://conitec.gov.br/images/Protocolos/PCDT_Tabagismo.pdf
pcdt,Esquizofrenia,F200 F201 F202 F203 F204 F205 F206 F208,Portaria SAS/MS nº 364 - 09/04/2013 (Publicada em 07/05/2014),https://www.saude.gov.br/images/pdf/2014/abril/02/pcdt-esquizofrenia-livro-2013.pdf
pcdt,Transtorno Esquizoafetivo,F250 F251 F252,Portaria SAS/MS nº 1.203 - 04/11/2014 (Publicada em 05/11/2014),http://conitec.gov.br/images/Protocolos/TranstornoEsquizoafetivo.pdf
pcdt,Transtorno Afetivo Bipolar do tipo I,F311 F312 F313 F314 F315 F316 F317,Portaria SAS/MS Nº 315 - 30/03/2016 (Publicada em 31/03/2016),http://conitec.gov.br/images/Protocolos/PCDT_TranstornoAfetivoBipolar_TipoI.pdf
pcdt,Comportamento Agressivo no Transtorno do Espectro do Autismo,F840 F841 F843 F845 F848,Portaria SAS/MS nº 324 - 31/03/2016 (Publicada em 01/04/2016),http://conitec.gov.br/images/Protocolos/PCDT_ComportamentoAgressivo_Autismo.doc.pdf
pcdt,Espasticidade,G041 G800 G801 G802 G811 G821 G824 I690 I691 I692 I693 I694 I698 T905 T908,Portaria Conjunta SAS/SCTIE nº 2 - 29/05/2017 (Publicada em 30/05/2017),http://conitec.gov.br/images/Protocolos/Protocolo_Uso/Portaria_SAS-SCTIE_2_PCDT_Espasticidade_29_05_2017.pdf
pcdt,Atrofia Muscular Espinhal 5q Tipo 1,G120,Portaria Conjunta SAS/SCTIE nº 15 - 22/10/2019 (Publicada em 23/10/2019),http://conitec.gov.br/images/Protocolos/Portaria_Conjunta_PCDT_Atrofia_Muscular_Espinhal_5q_Tipo-I.pdf
pcdt,Esclerose Lateral Amiotrófica,G122,Portaria SAS/MS nº 1.151 - 12/11/2015 (Publicada em 12/11/2015),http://conitec.gov.br/images/Protocolos/PCDT_ELA.pdf
pcdt,Doença de Parkinson,G20,Portaria Conjunta SAS/SCTIE nº 10 - 31/11/2017 (Publicada em 09/11/2017),http://conitec.gov.br/images/Protocolos/PCDT_Doenca_de_Parkinson_2017.pdf
pcdt,Distonias focais e Espasmo Hemifacial,G243 G244 G245 G248 G513 G518,Portaria Conjunta SAS/SCTIE nº 1 - 29/05/2017 (Publicada em 30/05/2017),http://conitec.gov.br/images/Protocolos/Protocolo_Uso/Portaria_SAS-SCTIE_1_PCDT_Distonias_e_Espasmo_Hemifacial_29_05_2017.pdf
pcdt,Doença de Alzheimer,G300 G301 G308 F000 F001 F002,Portaria Conjunta SAS/SCTIE nº 13 - 08/12/2017 (Publicada em 08/12/2017),http://conitec.gov.br/images/Relatorios/2017/Recomendacao/Portaria_Conjunta_13_PCDT_Alzheimer_28_11_2017.pdf
pcdt,Esclerose Múltipla,G35,Portaria Conjunta SAS/SCTIE nº 7 - 03/07/2019 (Publicada em 11/07/2019),http://conitec.gov.br/images/Protocolos/PCDT-Esclerose-Mltipla.pdf
pcdt,Epilepsia,G400 G401 G402 G403 G404 G405 G406 G407 G408,Portaria Conjunta SAS/SCTIE nº 17 - 27/06/2018 (Publicada em 27/06/2018),http://conitec.gov.br/images/Protocolos/PCDT_Epilepisia_2019.pdf
pcdt,Síndrome de Guillain-Barré,G610,Portaria SAS/MS n° 1.171 - 19/11/2015 (Publicada em 20/11/2015),http://conitec.gov.br/images/Protocolos/pcdt_guilain-barre_2015.pdf
pcdt,Miastenia Gravis,G700,Portaria SAS/MS nº 1.169 - 19/11/2015 (Publicada em 20/11/2015),http://conitec.gov.br/images/Protocolos/pcdt_miastenia-gravis_2015.pdf
pcdt,Uveítes Não-Infecciosas,H301 H302 H308 H201 H150,Portaria SAS/MS n° 13 - 11/09/2019 (Publicada em 16/09/2019),http://conitec.gov.br/images/Protocolos/Portaria-Conjunta-PCDT-Uveites_SAES.pdf
pcdt,Degeneração Macular Relacionada com a Idade (forma neovascular),H353,Portaria Conjunta SAS/SCTIE nº 18 – 19/11/2018 (Publicada em 19/11/2018),http://conitec.gov.br/images/Protocolos/PCDT-DMRI.pdf
pcdt,Glaucoma,H401 H402 H403 H404 H405 H406 H408 Q150,Portaria Conjunta SAS/SCTIE nº 11 - 02/04/2018 (Publicada em 09/04/2018),http://conitec.gov.br/images/Relatorios/Portaria/2018/SITE_Portaria-Conjunta-n-11_PCDT_Glaucoma_02_04_2018.pdf
pcdt,Hipertensão Arterial Pulmonar,I270 I272 I278,Portaria SAS/MS nº 35 - 16/01/2014 (Publicada em 17/01/2014). (Republicado em 06/06/2014 e 23/09/2014),http://conitec.gov.br/images/Protocolos/HAP.pdf
pcdt,Acidente Vascular Cerebral (AVC) - Trombólise no Acidente Vascular Cerebral Isquêmico Agudo,I630 I631 I632 I633 I634 I635 I636 I638 I639 I650 I651 I652 I653 I658 I659 I660 I661,Portaria GM/MS nº 664 - 12/04/2012 (Publicada em 13/04/2012),http://conitec.gov.br/images/Protocolos/Tromb--lise-no-Acidente-Vascular-Cerebral-Isqu--mico-Agudo.pdf
pcdt,Doença Pulmonar Obstrutiva Crônica (Retificado em 14/06/2013 e 10/06/2014),J440 J441 J448,Portaria SAS/MS nº 609 - 06/06/2013 (Publicada em 06/06/2013),https://www.saude.gov.br/images/pdf/2014/junho/13/Portaria-609-de-2013.pdf
pcdt,Asma (Alterado pela Portaria SAS/MS nº 603 - 21/07/2014),J450 J451 J458,Portaria Conjunta SAS/MS nº 1.317 - 25/11/2013 (Publicada em 27/11/2013),https://portalarquivos2.saude.gov.br/images/pdf/2014/julho/22/PT-SAS-N---1317-alterado-pela-603-de-21-de-julho-de-2014.pdf
pcdt,Doença de Crohn,K500 K501 K508,Portaria Conjunta SAS/SCTIE nº 14 - 28/11/2017 (Publicada em 08/12/2017),http://conitec.gov.br/images/Protocolos/Portaria_Conjunta_14_PCDT_Doenca_de_Crohn_28_11_2017.pdf
pcdt,Retocolite Ulcerativa,K510 K512 K513 K515 K518,Portaria Conjunta SAES/SCTIE/MS nº 06 - 26/03/2020 (Publicada em 01/04/2020),http://conitec.gov.br/images/Protocolos/PCDT_Retocolite_Ulcerativa_2020.pdf
pcdt,Colangite Biliar Primária,K743,Portaria SAS/MS nº 11 - 09/09/2019 (Publicada em 16/09/2019),http://conitec.gov.br/images/Protocolos/Portaria-Conjunta-PCDT-Colangite-Biliar-SAES.pdf
pcdt,Hepatite Autoimune,K754,Portaria Conjunta SAS/SCTIE nº 14 - 09/05/2018 (Publicada em 09/05/2018),http://conitec.gov.br/images/Relatorios/Portaria/2018/Portaria_Hepatite_Autoimune.pdf
pcdt,Insuficiência Pancreática Exócrina,K860 K861 K903,Portaria SAS/MS nº 112 - 05/02/2016 (Publicada em 05/02/2016),http://conitec.gov.br/images/Protocolos/PCDT_InsuficienciaPancreaticaExocrina-Fev2016.pdf
pcdt,Doença Celíaca,K900,Portaria SAS/MS nº 1.149 - 12/11/2015 (Publicada em 12/11/2015),http://conitec.gov.br/images/Protocolos/PCDT_DoencaCeliaca.pdf
pcdt,Psoríase,L400 L401 L404 L408,Portaria SCTIE/SAS/MS nº 10 - 06/07/2019 (Publicada em 11/09/2019),http://conitec.gov.br/images/Protocolos/Diretrizes/Portaria_SAES_SCTIE_10_2019.pdf
pcdt,Hidradenite Supurativa,L732,Portaria SCTIE/SAS/MS nº 14/2019 - 11/09/2019 (Publicada em 16/09/2019),http://conitec.gov.br/images/Protocolos/Site-de-Portaria-Conjunta-14_PCDTHidradernite-Supurativa.pdf
pcdt,Lúpus Eritematoso Sistêmico,L930 L931 M321 M328,Portaria GM/MS nº 100 - 07/02/2013 (Publicada em 08/02/2013). (Retificada em 22/03/2013),http://conitec.gov.br/images/Protocolos/LupusEritematoso_Sistemico.pdf
pcdt,Artrite Reativa,M023,Portaria Conjunta SAS/MS nº 1.150 - 12/11/2015 (Publicada em 12/11/2015),http://conitec.gov.br/images/Protocolos/PCDT_ArtriteReativa.pdf
pcdt,Artrite Reumatoide e Artrite Idiopática Juvenil (AIJ),M050 M051 M052 M053 M058 M060 M068 M080 M081 M082 M083 M084 M088 M089,Portaria Conjunta SAES/SCTIE nº 05 - 16/03/2020 (Republicada em 20/03/2020),http://conitec.gov.br/images/Protocolos/PortariaConjunta_05_PCDT_ArtriteReumatoideJuvenil_2020.pdf
pcdt,Artrite Psoríaca,M070 M072 M073,Portaria Conjunta SAS/SCTIE nº 26 - 24/10/2018 (Publicada em 24/10/2018). Retificada em (05/11/2018),http://conitec.gov.br/images/Protocolos/MINUTA-Artrite-Psoriaca_publicadafevrereiro.2019.pdf
